benchmark;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem
139442p1;abcdeep;sat;3;0.71;0.25;65.4;abcsuperprove;sat;3;1.10;0.22;428.9;avy;sat;3;1.59;0.34;56.1;blimc;sat;3;1.47;0.69;4.9;conpcheck;sat;3;3.73;5.76;82.3;iimc;sat;3;1.01;1.07;70.9;iprover;sat;3;2.94;15.20;889.3;iproverdeep;sat;3;2.82;7.36;507.8;nuxmv;sat;3;0.70;0.11;85.9;nuxmvbmc;sat;3;0.68;0.06;33.6;pdtravdeep;sat;3;3.92;1.92;507.8;pdtravthrd;sat;3;3.36;3.72;1007.3;shiftbmc;sat;3;1.26;0.48;20.3;truss;sat;3;1.04;0.37;71.4
139443p5;abcdeep;sat;3;0.72;0.64;184.5;abcsuperprove;sat;3;1.05;0.21;54.4;avy;sat;3;1.32;0.52;101.6;blimc;sat;3;1.53;1.39;7.9;conpcheck;sat;3;4.74;7.65;86.6;iimc;sat;3;2.72;2.58;123.6;iprover;sat;3;3.74;21.53;1213.8;iproverdeep;sat;3;3.73;11.70;718.5;nuxmv;sat;3;1.20;0.31;100.9;nuxmvbmc;sat;3;0.97;0.07;36.9;pdtravdeep;sat;3;4.10;3.30;538.9;pdtravthrd;sat;3;4.66;6.60;1026.2;shiftbmc;sat;3;1.27;0.78;23.1;truss;sat;3;1.27;0.70;78.0
139444p22;abcdeep;sat;4;1.30;0.77;206.6;abcsuperprove;sat;4;1.18;0.69;468.9;avy;sat;4;1.75;0.83;75.8;blimc;sat;4;3.02;2.39;8.6;conpcheck;sat;4;4.57;8.47;91.5;iimc;sat;4;3.26;4.28;141.1;iprover;sat;4;6.84;42.28;2171.7;iproverdeep;sat;4;6.78;23.82;1299.7;nuxmv;sat;4;0.67;0.90;118.2;nuxmvbmc;sat;4;0.88;0.26;45.6;pdtravdeep;sat;4;6.41;4.77;578.7;pdtravthrd;sat;4;9.73;23.65;1062.6;shiftbmc;sat;4;1.92;1.19;25.2;truss;sat;4;1.61;1.33;116.5
139452p0;abcdeep;uns;-1;1.59;3.32;663.1;abcsuperprove;uns;-1;0.39;0.12;34.6;avy;time;-1;3600.09;3599.43;33.8;blimc;unk;1000;70.29;69.38;717.4;conpcheck;uns;-1;3.02;1.74;65.0;iimc;uns;-1;0.92;0.05;21.0;iprover;time;1656;3600.76;14818.70;127588.3;iproverdeep;time;2542;3600.06;14494.34;115597.4;nuxmv;uns;-1;0.61;0.07;70.1;nuxmvbmc;unk;1001;0.34;0.00;0.0;pdtravdeep;uns;-1;1.50;1.30;116.1;pdtravthrd;uns;-1;1.66;0.75;232.7;shiftbmc;unk;1000;1.91;1.78;39.4;truss;uns;-1;1.21;0.87;89.5
139453p0;abcdeep;uns;-1;1.56;5.52;1412.8;abcsuperprove;uns;-1;1.03;0.13;37.4;avy;time;-1;3600.06;3599.07;44.2;blimc;unk;1000;102.14;101.99;1160.5;conpcheck;uns;-1;2.57;1.96;82.7;iimc;uns;-1;0.09;0.00;0.0;iprover;time;2113;3600.72;14719.99;127720.1;iproverdeep;time;2545;3600.12;14470.92;123493.7;nuxmv;uns;-1;1.00;0.08;77.1;nuxmvbmc;unk;1001;0.29;0.05;0.0;pdtravdeep;uns;-1;2.86;2.09;116.1;pdtravthrd;uns;-1;1.11;0.73;231.0;shiftbmc;unk;1000;3.41;2.58;48.8;truss;uns;-1;1.59;1.54;119.6
139462p0;abcdeep;uns;-1;2.10;3.00;844.2;abcsuperprove;uns;-1;1.18;0.12;34.9;avy;time;-1;3600.04;3599.16;27.5;blimc;unk;1000;108.02;107.97;1159.2;conpcheck;uns;-1;2.25;2.24;80.6;iimc;uns;-1;0.93;0.05;27.1;iprover;time;2054;3600.61;15101.18;127675.9;iproverdeep;time;2452;3600.13;14465.48;124153.1;nuxmv;uns;-1;0.23;0.08;79.4;nuxmvbmc;unk;1001;1.06;0.05;0.0;pdtravdeep;uns;-1;3.37;2.49;116.1;pdtravthrd;uns;-1;0.95;0.74;236.1;shiftbmc;unk;1000;3.02;2.38;42.8;truss;uns;-1;2.80;6.00;368.0
139464p0;abcdeep;uns;-1;3.18;13.05;2552.5;abcsuperprove;uns;-1;0.44;0.13;37.4;avy;time;-1;3600.10;3598.33;36.1;blimc;unk;1000;186.93;186.14;1834.9;conpcheck;uns;-1;21.46;21.06;92.3;iimc;uns;-1;0.44;0.09;32.2;iprover;time;1962;3600.28;17330.01;127674.1;iproverdeep;time;2285;3600.10;14422.52;127140.0;nuxmv;uns;-1;0.70;0.07;21.1;nuxmvbmc;unk;1001;0.56;0.07;31.3;pdtravdeep;uns;-1;6.78;6.09;116.6;pdtravthrd;uns;-1;1.59;0.89;231.0;shiftbmc;unk;1000;5.09;4.38;59.6;truss;uns;-1;2.89;4.52;300.3
6s0;abcdeep;time;96;3600.05;28779.72;2069.6;abcsuperprove;uns;-1;191.96;2172.32;1257.7;avy;uns;-1;2082.59;8326.96;1145.9;blimc;time;29;3600.12;3599.13;83.4;conpcheck;time;47;3600.12;10798.70;312.9;iimc;time;34;3600.63;28160.06;7931.9;iprover;time;26;3600.04;25335.63;55984.1;iproverdeep;time;26;3600.06;14492.02;41902.2;nuxmv;uns;-1;314.79;1256.18;270.9;nuxmvbmc;time;31;3600.10;3598.82;298.7;pdtravdeep;time;4;3600.09;14386.87;2486.0;pdtravthrd;uns;-1;1222.01;7719.00;6928.1;shiftbmc;time;119;3600.11;3598.74;784.2;truss;uns;-1;211.68;668.17;417.0
6s105;abcdeep;time;35;3600.11;28782.67;1766.1;abcsuperprove;time;-1;3600.08;46217.56;4358.3;avy;time;-1;3600.06;14392.63;1522.6;blimc;time;33;3600.06;3599.95;96.7;conpcheck;time;27;3600.08;10798.94;287.6;iimc;time;31;3600.25;28143.62;4053.8;iprover;time;28;3600.05;25359.33;54924.4;iproverdeep;time;25;3600.11;14489.53;57444.8;nuxmv;time;33;3600.08;14395.79;577.7;nuxmvbmc;time;33;3600.06;3599.37;301.6;pdtravdeep;time;-1;3600.20;14382.96;5750.4;pdtravthrd;time;-1;3600.17;21717.54;6131.5;shiftbmc;time;32;3600.12;3598.52;414.4;truss;time;22;3600.11;10840.48;1518.2
6s109;abcdeep;uns;-1;53.86;399.12;649.0;abcsuperprove;uns;-1;48.99;300.72;869.4;avy;uns;-1;14.60;53.55;214.5;blimc;time;34;3600.07;3599.33;114.7;conpcheck;uns;-1;121.26;265.91;113.5;iimc;uns;-1;91.77;718.41;304.1;iprover;time;22;3600.07;21741.85;67712.9;iproverdeep;time;22;3600.06;9737.76;51736.5;nuxmv;uns;-1;58.59;232.52;243.6;nuxmvbmc;time;25;3600.11;3599.11;316.6;pdtravdeep;time;-1;3600.20;14379.56;7088.5;pdtravthrd;uns;-1;64.63;416.22;1463.4;shiftbmc;time;26;3600.09;3599.69;543.4;truss;uns;-1;3328.37;10015.94;1462.0
