benchmark,expected
139442p1,refuted
139443p5,refuted
139444p22,refuted
139452p0,proved
139453p0,proved
139462p0,proved
139464p0,proved
6s0,unknown
6s105,unknown
6s109,proved
6s119,unknown
6s120,proved
6s128,unknown
6s130,unknown
6s131,unknown
6s134,refuted
6s145,unknown
6s158,unknown
6s16,unknown
6s160,unknown
6s163,unknown
6s185,unknown
6s186,unknown
6s187,unknown
6s188,unknown
6s191,unknown
6s195,unknown
6s20,refuted
6s202b41,unknown
6s204b16,unknown
6s205b20,unknown
6s206rb103,proved
6s207rb28,refuted
6s209b0,proved
6s210b037,refuted
6s215rb0,refuted
6s216rb0,refuted
6s218b2950,refuted
6s22,unknown
6s221rb14,proved
6s267rb3,unknown
6s268r,unknown
6s269r,unknown
6s271rb079,proved
6s274r,unknown
6s275rb318,proved
6s276rb342,proved
6s279r,unknown
6s280r,unknown
6s281b35,unknown
6s288r,proved
6s29,unknown
6s290,proved
6s292rb037,unknown
6s299b685,refuted
6s310r,unknown
6s316b421,unknown
6s316b460,unknown
6s319r,refuted
6s320rb1,refuted
6s322rb646,unknown
6s329rb19,unknown
6s341r,unknown
6s342rb122,unknown
6s343b08,proved
6s344rb054,proved
6s344rb150,proved
6s348b53,unknown
6s351rb02,unknown
6s351rb15,unknown
6s355rb08740,proved
6s359r,unknown
6s365r,unknown
6s366r,unknown
6s367r,unknown
6s37,unknown
6s372rb26,proved
6s374b029,refuted
6s374b114,proved
6s376r,unknown
6s377r,unknown
6s38,unknown
6s380b511,refuted
6s384rb024,proved
6s387rb291,unknown
6s389b02,refuted
6s391rb379,proved
6s393r,unknown
6s394r,unknown
6s398b09,unknown
6s399b02,unknown
6s4,unknown
6s400rb07819,proved
6s402rb0342,unknown
6s403rb1342,proved
6s404rb1,proved
6s404rb4,proved
6s406rb067,proved
6s41,refuted
6s42,unknown
6s421rb083,proved
6s428rb098,proved
6s44,unknown
6s514r,unknown
6s515rb1,proved
6s516r,unknown
6s517rb0,unknown
abp4p2ff,refuted
bc57sensorsp2,refuted
beemadd4b1,refuted
beemandrsn6b1,unknown
beemcmbrdg1b1,unknown
beemcmbrdg1f1,unknown
beemlifts3b1,unknown
beemlmprt8f1,refuted
beemptrsn4b1,unknown
bj08amba2g1,proved
bj08amba2g4f3,refuted
bj08amba3g1,proved
bj08amba5g62,proved
bj08aut82,proved
bj08vendingcycle,refuted
bob05,proved
bob12s09,proved
bob2,proved
bob3,proved
bob9234specand,proved
bobcount,proved
boblivea,proved
boblivear,proved
bobmiterbm1or,refuted
bobpcihm,unknown
bobsm9234,unknown
bobsmcodic,unknown
bobsmfpu,unknown
bobsmhdlc3,unknown
bobsmi2c,proved
bobsmminiuart,unknown
bobsynth13,refuted
bobsynthand,proved
bobsynthor,refuted
bobtuint24,refuted
bobtuttt,refuted
bobunr2p10d40l,proved
brpp1,refuted
cmudme2,proved
counterp0,refuted
csmacdp2,refuted
dme6p1,refuted
dme6p1neg,refuted
eijkbs1512,proved
eijkbs3271,unknown
eijkbs6669,unknown
eijks1196,proved
eijks1238,proved
eijks344,proved
eijks349,proved
eijks386,proved
eijks444,proved
eijks953,proved
intel001,proved
intel003,proved
intel007,proved
intel012,unknown
intel013,unknown
intel014,unknown
intel016,unknown
intel025,unknown
intel026,proved
intel027,unknown
intel028,unknown
intel032,unknown
intel034,proved
intel036,refuted
intel039,refuted
intel040,refuted
intel043,refuted
intel044,refuted
intel046,refuted
intel047,refuted
intel056,proved
intel061,proved
intel064,unknown
intel066,unknown
irstdme6,refuted
kenflashp03,proved
kenflashp07,proved
kenflashp08,proved
kenflashp09,proved
kenflashp10,proved
kenflashp13,proved
mentorbm1and,refuted
mentorbm1or,proved
mentorbm1p02,proved
mutexp0,refuted
ndista128,proved
neclabakery001,proved
neclaftp4002,proved
neclaftp5001,proved
neclatcas1a001,unknown
nusmvbrp,proved
nusmvdme216,unknown
nusmvguidancep1,proved
nusmvreactorp3,proved
nusmvreactorp5,proved
nusmvsyncarb5p2,proved
nusmvtcasp3,proved
oc8051gm03acc,unknown
oc8051gm06iram,unknown
oc8051gm0caddr,proved
oc8051gm12data,proved
oc8051gm15addr,unknown
oc8051gm1edata,proved
oc8051gm2daddr,unknown
oc8051gm36addr,unknown
oc8051gm3apc,unknown
oc8051gm3bacc,unknown
oc8051gm3dpc,unknown
oc8051gm3facc,unknown
oc8051gm43acc,unknown
oc8051gm49acc,unknown
oc8051gm49pc,unknown
oc8051gm4biram,unknown
oc8051gm4dacc,unknown
oc8051gm58addr,unknown
oc8051gm59data,unknown
oc8051gm63iram,unknown
